ISO3,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,time,Flag Codes
CAN,HRWKD,TOT,HR_WKD,A,1982,1789,
CAN,HRWKD,TOT,HR_WKD,A,1983,1779,
CAN,HRWKD,TOT,HR_WKD,A,1984,1789,
CAN,HRWKD,TOT,HR_WKD,A,1985,1795,
CAN,HRWKD,TOT,HR_WKD,A,1986,1797,
CAN,HRWKD,TOT,HR_WKD,A,1987,1807,
CAN,HRWKD,TOT,HR_WKD,A,1988,1808,
CAN,HRWKD,TOT,HR_WKD,A,1989,1802,
CAN,HRWKD,TOT,HR_WKD,A,1990,1797,
CAN,HRWKD,TOT,HR_WKD,A,1991,1775,
CAN,HRWKD,TOT,HR_WKD,A,1992,1772,
CAN,HRWKD,TOT,HR_WKD,A,1993,1769,
CAN,HRWKD,TOT,HR_WKD,A,1994,1778,
CAN,HRWKD,TOT,HR_WKD,A,1995,1775,
CAN,HRWKD,TOT,HR_WKD,A,1996,1790,
CAN,HRWKD,TOT,HR_WKD,A,1997,1798,
CAN,HRWKD,TOT,HR_WKD,A,1998,1794,
CAN,HRWKD,TOT,HR_WKD,A,1999,1793,
CAN,HRWKD,TOT,HR_WKD,A,2000,1787,
CAN,HRWKD,TOT,HR_WKD,A,2001,1774,
CAN,HRWKD,TOT,HR_WKD,A,2002,1755,
CAN,HRWKD,TOT,HR_WKD,A,2003,1745,
CAN,HRWKD,TOT,HR_WKD,A,2004,1755,
CAN,HRWKD,TOT,HR_WKD,A,2005,1745,
CAN,HRWKD,TOT,HR_WKD,A,2006,1744,
CAN,HRWKD,TOT,HR_WKD,A,2007,1744,
CAN,HRWKD,TOT,HR_WKD,A,2008,1741,
CAN,HRWKD,TOT,HR_WKD,A,2009,1712,
CAN,HRWKD,TOT,HR_WKD,A,2010,1715,
CAN,HRWKD,TOT,HR_WKD,A,2011,1713,
CAN,HRWKD,TOT,HR_WKD,A,2012,1722,
CAN,HRWKD,TOT,HR_WKD,A,2013,1716,
CAN,HRWKD,TOT,HR_WKD,A,2014,1710,
CAN,HRWKD,TOT,HR_WKD,A,2015,1712,
CAN,HRWKD,TOT,HR_WKD,A,2016,1706,
CAN,HRWKD,TOT,HR_WKD,A,2017,1695,
CAN,HRWKD,TOT,HR_WKD,A,2018,1708,
CAN,HRWKD,TOT,HR_WKD,A,2019,1690,
CAN,HRWKD,TOT,HR_WKD,A,2020,1644,
CAN,HRWKD,TOT,HR_WKD,A,2021,1685,
CZE,HRWKD,TOT,HR_WKD,A,1993,1857,
CZE,HRWKD,TOT,HR_WKD,A,1994,1839,
CZE,HRWKD,TOT,HR_WKD,A,1995,1831.674,
CZE,HRWKD,TOT,HR_WKD,A,1996,1829.378,
CZE,HRWKD,TOT,HR_WKD,A,1997,1837.919,
CZE,HRWKD,TOT,HR_WKD,A,1998,1860.877,
CZE,HRWKD,TOT,HR_WKD,A,1999,1890.601,
CZE,HRWKD,TOT,HR_WKD,A,2000,1900.26,
CZE,HRWKD,TOT,HR_WKD,A,2001,1823.323,
CZE,HRWKD,TOT,HR_WKD,A,2002,1812.215,
CZE,HRWKD,TOT,HR_WKD,A,2003,1799.048,
CZE,HRWKD,TOT,HR_WKD,A,2004,1813.656,
CZE,HRWKD,TOT,HR_WKD,A,2005,1802.926,
CZE,HRWKD,TOT,HR_WKD,A,2006,1789.229,
CZE,HRWKD,TOT,HR_WKD,A,2007,1775.017,
CZE,HRWKD,TOT,HR_WKD,A,2008,1789.614,
CZE,HRWKD,TOT,HR_WKD,A,2009,1778.801,
CZE,HRWKD,TOT,HR_WKD,A,2010,1799.1,
CZE,HRWKD,TOT,HR_WKD,A,2011,1805.473,
CZE,HRWKD,TOT,HR_WKD,A,2012,1776.448,
CZE,HRWKD,TOT,HR_WKD,A,2013,1764.302,
CZE,HRWKD,TOT,HR_WKD,A,2014,1773.812,
CZE,HRWKD,TOT,HR_WKD,A,2015,1751.474,
CZE,HRWKD,TOT,HR_WKD,A,2016,1774.046,
CZE,HRWKD,TOT,HR_WKD,A,2017,1776.448,
CZE,HRWKD,TOT,HR_WKD,A,2018,1784.666,
CZE,HRWKD,TOT,HR_WKD,A,2019,1786.033,
CZE,HRWKD,TOT,HR_WKD,A,2020,1703.597,
CZE,HRWKD,TOT,HR_WKD,A,2021,1752.821,
DNK,HRWKD,TOT,HR_WKD,A,1970,1845,
DNK,HRWKD,TOT,HR_WKD,A,1971,1810,
DNK,HRWKD,TOT,HR_WKD,A,1972,1752,
DNK,HRWKD,TOT,HR_WKD,A,1973,1710,
DNK,HRWKD,TOT,HR_WKD,A,1974,1691,
DNK,HRWKD,TOT,HR_WKD,A,1975,1617,
DNK,HRWKD,TOT,HR_WKD,A,1976,1624,
DNK,HRWKD,TOT,HR_WKD,A,1977,1598,
DNK,HRWKD,TOT,HR_WKD,A,1978,1575,
DNK,HRWKD,TOT,HR_WKD,A,1979,1564,
DNK,HRWKD,TOT,HR_WKD,A,1980,1577,
DNK,HRWKD,TOT,HR_WKD,A,1981,1546,
DNK,HRWKD,TOT,HR_WKD,A,1982,1553,
DNK,HRWKD,TOT,HR_WKD,A,1983,1546,
DNK,HRWKD,TOT,HR_WKD,A,1984,1541,
DNK,HRWKD,TOT,HR_WKD,A,1985,1527,
DNK,HRWKD,TOT,HR_WKD,A,1986,1531,
DNK,HRWKD,TOT,HR_WKD,A,1987,1493,
DNK,HRWKD,TOT,HR_WKD,A,1988,1471,
DNK,HRWKD,TOT,HR_WKD,A,1989,1455,
DNK,HRWKD,TOT,HR_WKD,A,1990,1440.502,
DNK,HRWKD,TOT,HR_WKD,A,1991,1437.314,
DNK,HRWKD,TOT,HR_WKD,A,1992,1452.365,
DNK,HRWKD,TOT,HR_WKD,A,1993,1448.921,
DNK,HRWKD,TOT,HR_WKD,A,1994,1406.661,
DNK,HRWKD,TOT,HR_WKD,A,1995,1419.145,
DNK,HRWKD,TOT,HR_WKD,A,1996,1412.265,
DNK,HRWKD,TOT,HR_WKD,A,1997,1428.092,
DNK,HRWKD,TOT,HR_WKD,A,1998,1441.133,
DNK,HRWKD,TOT,HR_WKD,A,1999,1456.498,
DNK,HRWKD,TOT,HR_WKD,A,2000,1465.938,
DNK,HRWKD,TOT,HR_WKD,A,2001,1468.676,
DNK,HRWKD,TOT,HR_WKD,A,2002,1462.585,
DNK,HRWKD,TOT,HR_WKD,A,2003,1457.827,
DNK,HRWKD,TOT,HR_WKD,A,2004,1458.074,
DNK,HRWKD,TOT,HR_WKD,A,2005,1451.362,
DNK,HRWKD,TOT,HR_WKD,A,2006,1455.703,
DNK,HRWKD,TOT,HR_WKD,A,2007,1432.77,
DNK,HRWKD,TOT,HR_WKD,A,2008,1430.055,
DNK,HRWKD,TOT,HR_WKD,A,2009,1417.03,
DNK,HRWKD,TOT,HR_WKD,A,2010,1422.308,
DNK,HRWKD,TOT,HR_WKD,A,2011,1436.981,
DNK,HRWKD,TOT,HR_WKD,A,2012,1423.346,
DNK,HRWKD,TOT,HR_WKD,A,2013,1425.634,
DNK,HRWKD,TOT,HR_WKD,A,2014,1413.807,
DNK,HRWKD,TOT,HR_WKD,A,2015,1407.149,
DNK,HRWKD,TOT,HR_WKD,A,2016,1412.045,
DNK,HRWKD,TOT,HR_WKD,A,2017,1404.204,
DNK,HRWKD,TOT,HR_WKD,A,2018,1381.289,
DNK,HRWKD,TOT,HR_WKD,A,2019,1371.499,
DNK,HRWKD,TOT,HR_WKD,A,2020,1342.327,
DNK,HRWKD,TOT,HR_WKD,A,2021,1363.431,
FIN,HRWKD,TOT,HR_WKD,A,1960,1967,
FIN,HRWKD,TOT,HR_WKD,A,1961,1966,
FIN,HRWKD,TOT,HR_WKD,A,1962,1959,
FIN,HRWKD,TOT,HR_WKD,A,1963,1956,
FIN,HRWKD,TOT,HR_WKD,A,1964,1980,
FIN,HRWKD,TOT,HR_WKD,A,1965,1980,
FIN,HRWKD,TOT,HR_WKD,A,1966,1957,
FIN,HRWKD,TOT,HR_WKD,A,1967,1940,
FIN,HRWKD,TOT,HR_WKD,A,1968,1925,
FIN,HRWKD,TOT,HR_WKD,A,1969,1907,
FIN,HRWKD,TOT,HR_WKD,A,1970,1918,
FIN,HRWKD,TOT,HR_WKD,A,1971,1884,
FIN,HRWKD,TOT,HR_WKD,A,1972,1869,
FIN,HRWKD,TOT,HR_WKD,A,1973,1853,
FIN,HRWKD,TOT,HR_WKD,A,1974,1848,
FIN,HRWKD,TOT,HR_WKD,A,1975,1779,
FIN,HRWKD,TOT,HR_WKD,A,1976,1776,
FIN,HRWKD,TOT,HR_WKD,A,1977,1769,
FIN,HRWKD,TOT,HR_WKD,A,1978,1774,
FIN,HRWKD,TOT,HR_WKD,A,1979,1751,
FIN,HRWKD,TOT,HR_WKD,A,1980,1732,
FIN,HRWKD,TOT,HR_WKD,A,1981,1726,
FIN,HRWKD,TOT,HR_WKD,A,1982,1719,
FIN,HRWKD,TOT,HR_WKD,A,1983,1709,
FIN,HRWKD,TOT,HR_WKD,A,1984,1705,
FIN,HRWKD,TOT,HR_WKD,A,1985,1699,
FIN,HRWKD,TOT,HR_WKD,A,1986,1683,
FIN,HRWKD,TOT,HR_WKD,A,1987,1690,
FIN,HRWKD,TOT,HR_WKD,A,1988,1694,
FIN,HRWKD,TOT,HR_WKD,A,1989,1694,
FIN,HRWKD,TOT,HR_WKD,A,1990,1671,
FIN,HRWKD,TOT,HR_WKD,A,1991,1652,
FIN,HRWKD,TOT,HR_WKD,A,1992,1652,
FIN,HRWKD,TOT,HR_WKD,A,1993,1651,
FIN,HRWKD,TOT,HR_WKD,A,1994,1671,
FIN,HRWKD,TOT,HR_WKD,A,1995,1677,
FIN,HRWKD,TOT,HR_WKD,A,1996,1675,
FIN,HRWKD,TOT,HR_WKD,A,1997,1671,
FIN,HRWKD,TOT,HR_WKD,A,1998,1661,
FIN,HRWKD,TOT,HR_WKD,A,1999,1660.986,
FIN,HRWKD,TOT,HR_WKD,A,2000,1650,
FIN,HRWKD,TOT,HR_WKD,A,2001,1636,
FIN,HRWKD,TOT,HR_WKD,A,2002,1628,
FIN,HRWKD,TOT,HR_WKD,A,2003,1623,
FIN,HRWKD,TOT,HR_WKD,A,2004,1624,
FIN,HRWKD,TOT,HR_WKD,A,2005,1613,
FIN,HRWKD,TOT,HR_WKD,A,2006,1608,
FIN,HRWKD,TOT,HR_WKD,A,2007,1605,
FIN,HRWKD,TOT,HR_WKD,A,2008,1601,
FIN,HRWKD,TOT,HR_WKD,A,2009,1580,
FIN,HRWKD,TOT,HR_WKD,A,2010,1585,
FIN,HRWKD,TOT,HR_WKD,A,2011,1578,
FIN,HRWKD,TOT,HR_WKD,A,2012,1568,
FIN,HRWKD,TOT,HR_WKD,A,2013,1560,
FIN,HRWKD,TOT,HR_WKD,A,2014,1558,
FIN,HRWKD,TOT,HR_WKD,A,2015,1555,
FIN,HRWKD,TOT,HR_WKD,A,2016,1555,
FIN,HRWKD,TOT,HR_WKD,A,2017,1548.88,
FIN,HRWKD,TOT,HR_WKD,A,2018,1546.373,
FIN,HRWKD,TOT,HR_WKD,A,2019,1538.371,
FIN,HRWKD,TOT,HR_WKD,A,2020,1528.79,
FIN,HRWKD,TOT,HR_WKD,A,2021,1518.267,
FRA,HRWKD,TOT,HR_WKD,A,1950,2351,
FRA,HRWKD,TOT,HR_WKD,A,1951,2360,
FRA,HRWKD,TOT,HR_WKD,A,1952,2339,
FRA,HRWKD,TOT,HR_WKD,A,1953,2313,
FRA,HRWKD,TOT,HR_WKD,A,1954,2316,
FRA,HRWKD,TOT,HR_WKD,A,1955,2292,
FRA,HRWKD,TOT,HR_WKD,A,1956,2236,
FRA,HRWKD,TOT,HR_WKD,A,1957,2200,
FRA,HRWKD,TOT,HR_WKD,A,1958,2179,
FRA,HRWKD,TOT,HR_WKD,A,1959,2179,
FRA,HRWKD,TOT,HR_WKD,A,1960,2188,
FRA,HRWKD,TOT,HR_WKD,A,1961,2165,
FRA,HRWKD,TOT,HR_WKD,A,1962,2178,
FRA,HRWKD,TOT,HR_WKD,A,1963,2159,
FRA,HRWKD,TOT,HR_WKD,A,1964,2166,
FRA,HRWKD,TOT,HR_WKD,A,1965,2153,
FRA,HRWKD,TOT,HR_WKD,A,1966,2145,
FRA,HRWKD,TOT,HR_WKD,A,1967,2110,
FRA,HRWKD,TOT,HR_WKD,A,1968,2087,
FRA,HRWKD,TOT,HR_WKD,A,1969,2012,
FRA,HRWKD,TOT,HR_WKD,A,1970,1993,
FRA,HRWKD,TOT,HR_WKD,A,1971,1990,
FRA,HRWKD,TOT,HR_WKD,A,1972,1937,
FRA,HRWKD,TOT,HR_WKD,A,1973,1920,
FRA,HRWKD,TOT,HR_WKD,A,1974,1888,
FRA,HRWKD,TOT,HR_WKD,A,1975,1863,
FRA,HRWKD,TOT,HR_WKD,A,1976,1889,
FRA,HRWKD,TOT,HR_WKD,A,1977,1850,
FRA,HRWKD,TOT,HR_WKD,A,1978,1819,
FRA,HRWKD,TOT,HR_WKD,A,1979,1816,
FRA,HRWKD,TOT,HR_WKD,A,1980,1806,
FRA,HRWKD,TOT,HR_WKD,A,1981,1786,
FRA,HRWKD,TOT,HR_WKD,A,1982,1714,
FRA,HRWKD,TOT,HR_WKD,A,1983,1696,
FRA,HRWKD,TOT,HR_WKD,A,1984,1690,
FRA,HRWKD,TOT,HR_WKD,A,1985,1654,
FRA,HRWKD,TOT,HR_WKD,A,1986,1648,
FRA,HRWKD,TOT,HR_WKD,A,1987,1659,
FRA,HRWKD,TOT,HR_WKD,A,1988,1667,
FRA,HRWKD,TOT,HR_WKD,A,1989,1651,
FRA,HRWKD,TOT,HR_WKD,A,1990,1645,
FRA,HRWKD,TOT,HR_WKD,A,1991,1638,
FRA,HRWKD,TOT,HR_WKD,A,1992,1635,
FRA,HRWKD,TOT,HR_WKD,A,1993,1627,
FRA,HRWKD,TOT,HR_WKD,A,1994,1623,
FRA,HRWKD,TOT,HR_WKD,A,1995,1601,
FRA,HRWKD,TOT,HR_WKD,A,1996,1597,
FRA,HRWKD,TOT,HR_WKD,A,1997,1596,
FRA,HRWKD,TOT,HR_WKD,A,1998,1585,
FRA,HRWKD,TOT,HR_WKD,A,1999,1578,
FRA,HRWKD,TOT,HR_WKD,A,2000,1558,
FRA,HRWKD,TOT,HR_WKD,A,2001,1538,
FRA,HRWKD,TOT,HR_WKD,A,2002,1504,
FRA,HRWKD,TOT,HR_WKD,A,2003,1507,
FRA,HRWKD,TOT,HR_WKD,A,2004,1531,
FRA,HRWKD,TOT,HR_WKD,A,2005,1532,
FRA,HRWKD,TOT,HR_WKD,A,2006,1515.011,
FRA,HRWKD,TOT,HR_WKD,A,2007,1537,
FRA,HRWKD,TOT,HR_WKD,A,2008,1543,
FRA,HRWKD,TOT,HR_WKD,A,2009,1531,
FRA,HRWKD,TOT,HR_WKD,A,2010,1540,
FRA,HRWKD,TOT,HR_WKD,A,2011,1546,
FRA,HRWKD,TOT,HR_WKD,A,2012,1541,
FRA,HRWKD,TOT,HR_WKD,A,2013,1526,
FRA,HRWKD,TOT,HR_WKD,A,2014,1518,
FRA,HRWKD,TOT,HR_WKD,A,2015,1519.484,
FRA,HRWKD,TOT,HR_WKD,A,2016,1522.069,
FRA,HRWKD,TOT,HR_WKD,A,2017,1507.605,
FRA,HRWKD,TOT,HR_WKD,A,2018,1514.41,
FRA,HRWKD,TOT,HR_WKD,A,2019,1518.157,
FRA,HRWKD,TOT,HR_WKD,A,2020,1407.258,
FRA,HRWKD,TOT,HR_WKD,A,2021,1490.332,
DEU,HRWKD,TOT,HR_WKD,A,1991,1554.1,
DEU,HRWKD,TOT,HR_WKD,A,1992,1565.105,
DEU,HRWKD,TOT,HR_WKD,A,1993,1540.2,
DEU,HRWKD,TOT,HR_WKD,A,1994,1536.6,
DEU,HRWKD,TOT,HR_WKD,A,1995,1530.6,
DEU,HRWKD,TOT,HR_WKD,A,1996,1516.8,
DEU,HRWKD,TOT,HR_WKD,A,1997,1507.7,
DEU,HRWKD,TOT,HR_WKD,A,1998,1504.5,
DEU,HRWKD,TOT,HR_WKD,A,1999,1491.5,
DEU,HRWKD,TOT,HR_WKD,A,2000,1465.9,
DEU,HRWKD,TOT,HR_WKD,A,2001,1458.2,
DEU,HRWKD,TOT,HR_WKD,A,2002,1448.9,
DEU,HRWKD,TOT,HR_WKD,A,2003,1443.4,
DEU,HRWKD,TOT,HR_WKD,A,2004,1442.6,
DEU,HRWKD,TOT,HR_WKD,A,2005,1432.4,
DEU,HRWKD,TOT,HR_WKD,A,2006,1453.2,
DEU,HRWKD,TOT,HR_WKD,A,2007,1454.099,
DEU,HRWKD,TOT,HR_WKD,A,2008,1447.3,
DEU,HRWKD,TOT,HR_WKD,A,2009,1405,
DEU,HRWKD,TOT,HR_WKD,A,2010,1425.7,
DEU,HRWKD,TOT,HR_WKD,A,2011,1426.901,
DEU,HRWKD,TOT,HR_WKD,A,2012,1407.988,
DEU,HRWKD,TOT,HR_WKD,A,2013,1396.5,
DEU,HRWKD,TOT,HR_WKD,A,2014,1400.413,
DEU,HRWKD,TOT,HR_WKD,A,2015,1401,
DEU,HRWKD,TOT,HR_WKD,A,2016,1395.597,
DEU,HRWKD,TOT,HR_WKD,A,2017,1389.1,
DEU,HRWKD,TOT,HR_WKD,A,2018,1384.7,
DEU,HRWKD,TOT,HR_WKD,A,2019,1381.5,
DEU,HRWKD,TOT,HR_WKD,A,2020,1324.2,
DEU,HRWKD,TOT,HR_WKD,A,2021,1349.3,
GRC,HRWKD,TOT,HR_WKD,A,1982,2072.195,
GRC,HRWKD,TOT,HR_WKD,A,1983,2072.195,
GRC,HRWKD,TOT,HR_WKD,A,1984,2002.995,
GRC,HRWKD,TOT,HR_WKD,A,1985,2020.058,
GRC,HRWKD,TOT,HR_WKD,A,1986,2008.683,
GRC,HRWKD,TOT,HR_WKD,A,1987,1967.921,
GRC,HRWKD,TOT,HR_WKD,A,1988,1956.546,
GRC,HRWKD,TOT,HR_WKD,A,1989,1997.307,
GRC,HRWKD,TOT,HR_WKD,A,1990,1975.505,
GRC,HRWKD,TOT,HR_WKD,A,1991,2004.891,
GRC,HRWKD,TOT,HR_WKD,A,1992,2031.433,
GRC,HRWKD,TOT,HR_WKD,A,1993,2051.34,
GRC,HRWKD,TOT,HR_WKD,A,1994,2018.162,
GRC,HRWKD,TOT,HR_WKD,A,1995,2000.821,
GRC,HRWKD,TOT,HR_WKD,A,1996,1999.584,
GRC,HRWKD,TOT,HR_WKD,A,1997,1998.202,
GRC,HRWKD,TOT,HR_WKD,A,1998,1998.667,
GRC,HRWKD,TOT,HR_WKD,A,1999,1995.27,
GRC,HRWKD,TOT,HR_WKD,A,2000,1997.915,
GRC,HRWKD,TOT,HR_WKD,A,2001,1991.743,
GRC,HRWKD,TOT,HR_WKD,A,2002,1984.241,
GRC,HRWKD,TOT,HR_WKD,A,2003,1982.594,
GRC,HRWKD,TOT,HR_WKD,A,2004,1974.131,
GRC,HRWKD,TOT,HR_WKD,A,2005,2025.024,
GRC,HRWKD,TOT,HR_WKD,A,2006,2014.691,
GRC,HRWKD,TOT,HR_WKD,A,2007,2001.089,
GRC,HRWKD,TOT,HR_WKD,A,2008,1996.605,
GRC,HRWKD,TOT,HR_WKD,A,2009,1972.86,
